Sequence.Name	GenBank.Accn	RefSeq.Accn	Sequence.Length	Chr
scaffold835	AOGC01082777.1	NW_013187628.1	905	1974
C18444628	AOGC01090136.1	NW_013187626.1	905	1975
C18444996	AOGC01090242.1	NW_013187627.1	905	1976
C18444150	AOGC01090239.1	NW_013187629.1	904	1977
C18442444	AOGC01090131.1	NW_013187630.1	903	1978
C18442400	AOGC01090134.1	NW_013187631.1	903	1979
C18441792	AOGC01090129.1	NW_013187633.1	902	1980
C18441460	AOGC01090132.1	NW_013187634.1	902	1981
C18441968	AOGC01090133.1	NW_013187632.1	902	1982
C18442274	AOGC01090135.1	NW_013187635.1	902	1983
C18440464	AOGC01090124.1	NW_013187636.1	901	1984
C18440794	AOGC01090126.1	NW_013187637.1	901	1985
C18441284	AOGC01090128.1	NW_013187639.1	901	1986
scaffold861	KQ040354.1	NW_013187638.1	901	1987
C18439496	AOGC01090123.1	NW_013187641.1	900	1988
C18439744	AOGC01090127.1	NW_013187642.1	900	1989
C18439954	AOGC01090130.1	NW_013187640.1	900	1990
C18438704	AOGC01090116.1	NW_013187645.1	899	1991
C18438802	AOGC01090120.1	NW_013187643.1	899	1992
C18438978	AOGC01090125.1	NW_013187644.1	899	1993
C18435734	AOGC01090117.1	NW_013187647.1	896	1994
C18436542	AOGC01090118.1	NW_013187649.1	896	1995
C18436332	AOGC01090121.1	NW_013187648.1	896	1996
scaffold547	KQ040355.1	NW_013187646.1	896	1997
scaffold1057	AOGC01083992.1	NW_013187651.1	895	1998
C18434846	AOGC01090110.1	NW_013187656.1	895	1999
C18434930	AOGC01090111.1	NW_013187650.1	895	2000
C18435480	AOGC01090112.1	NW_013187652.1	895	2001
C18435320	AOGC01090113.1	NW_013187653.1	895	2002
C18435230	AOGC01090119.1	NW_013187654.1	895	2003
C18435558	AOGC01090122.1	NW_013187655.1	895	2004
C18434598	AOGC01090107.1	NW_013187658.1	894	2005
C18434644	AOGC01090114.1	NW_013187657.1	894	2006
C18432908	AOGC01090108.1	NW_013187660.1	892	2007
C18432950	AOGC01090109.1	NW_013187663.1	892	2008
C18432268	AOGC01090115.1	NW_013187662.1	892	2009
scaffold1075	KQ040356.1	NW_013187659.1	892	2010
scaffold1443	KQ040357.1	NW_013187661.1	892	2011
scaffold1381	AOGC01084576.1	NW_013187666.1	891	2012
C18431282	AOGC01090102.1	NW_013187664.1	891	2013
C18431540	AOGC01090105.1	NW_013187665.1	891	2014
C18430576	AOGC01090104.1	NW_013187667.1	890	2015
C18429564	AOGC01090097.1	NW_013187672.1	889	2016
C18429788	AOGC01090099.1	NW_013187670.1	889	2017
C18430072	AOGC01090100.1	NW_013187669.1	889	2018
C18429654	AOGC01090101.1	NW_013187668.1	889	2019
C18429950	AOGC01090106.1	NW_013187671.1	889	2020
C18428876	AOGC01090094.1	NW_013187674.1	888	2021
C18428550	AOGC01090096.1	NW_013187673.1	888	2022
C18427992	AOGC01090095.1	NW_013187675.1	887	2023
C18426294	AOGC01090098.1	NW_013187676.1	885	2024
scaffold1498	AOGC01084751.1	NW_013187677.1	884	2025
C18423658	AOGC01090088.1	NW_013187679.1	883	2026
C18424354	AOGC01090093.1	NW_013187678.1	883	2027
C18424030	AOGC01090103.1	NW_013187680.1	883	2028
C18422728	AOGC01090087.1	NW_013187681.1	882	2029
C18422972	AOGC01090091.1	NW_013187682.1	882	2030
C18423222	AOGC01090092.1	NW_013187683.1	882	2031
C18421346	AOGC01090089.1	NW_013187684.1	880	2032
scaffold1062	AOGC01083999.1	NW_013187686.1	879	2033
C18419954	AOGC01090085.1	NW_013187687.1	879	2034
C18420614	AOGC01090086.1	NW_013187688.1	879	2035
C18420804	AOGC01090090.1	NW_013187685.1	879	2036
scaffold942	AOGC01083258.1	NW_013187690.1	877	2037
scaffold1430	AOGC01084659.1	NW_013187691.1	877	2038
C18418044	AOGC01090078.1	NW_013187689.1	877	2039
C18418250	AOGC01090083.1	NW_013187693.1	877	2040
C18418242	AOGC01090084.1	NW_013187692.1	877	2041
C18417604	AOGC01090077.1	NW_013187695.1	876	2042
C18417630	AOGC01090080.1	NW_013187694.1	876	2043
C18416654	AOGC01090073.1	NW_013187698.1	875	2044
C18416292	AOGC01090075.1	NW_013187699.1	875	2045
C18416384	AOGC01090079.1	NW_013187697.1	875	2046
C18416674	AOGC01090082.1	NW_013187696.1	875	2047
C18415684	AOGC01090072.1	NW_013187700.1	874	2048
C18414410	AOGC01090074.1	NW_013187703.1	873	2049
C18414388	AOGC01090076.1	NW_013187701.1	873	2050
C18414712	AOGC01090081.1	NW_013187702.1	873	2051
C18413424	AOGC01090062.1	NW_013187707.1	872	2052
C18414142	AOGC01090066.1	NW_013187709.1	872	2053
C18413976	AOGC01090067.1	NW_013187708.1	872	2054
C18413646	AOGC01090068.1	NW_013187705.1	872	2055
C18414124	AOGC01090069.1	NW_013187706.1	872	2056
C18413536	AOGC01090071.1	NW_013187704.1	872	2057
C18412510	AOGC01090064.1	NW_013187712.1	871	2058
C18412476	AOGC01090070.1	NW_013187711.1	871	2059
scaffold1453	KQ040358.1	NW_013187710.1	871	2060
C18411282	AOGC01090058.1	NW_013187714.1	870	2061
C18411940	AOGC01090059.1	NW_013187715.1	870	2062
C18411644	AOGC01090063.1	NW_013187716.1	870	2063
C18412172	AOGC01090065.1	NW_013187713.1	870	2064
C18410466	AOGC01090053.1	NW_013187719.1	869	2065
C18410270	AOGC01090054.1	NW_013187722.1	869	2066
C18410886	AOGC01090055.1	NW_013187717.1	869	2067
C18410924	AOGC01090057.1	NW_013187720.1	869	2068
C18410858	AOGC01090060.1	NW_013187721.1	869	2069
C18410722	AOGC01090061.1	NW_013187718.1	869	2070
C18410236	AOGC01090056.1	NW_013187723.1	868	2071
scaffold1313	KQ040359.1	NW_013187724.1	868	2072
scaffold778	AOGC01082353.1	NW_013187728.1	867	2073
scaffold1008	AOGC01083888.1	NW_013187729.1	867	2074
scaffold1095	AOGC01084057.1	NW_013187727.1	867	2075
C18408678	AOGC01090050.1	NW_013187726.1	867	2076
C18408770	AOGC01090052.1	NW_013187725.1	867	2077
C18408002	AOGC01090051.1	NW_013187730.1	866	2078
C18406488	AOGC01090046.1	NW_013187731.1	865	2079
C18407330	AOGC01090047.1	NW_013187732.1	865	2080
C18406982	AOGC01090048.1	NW_013187733.1	865	2081
C18405542	AOGC01090045.1	NW_013187734.1	864	2082
C18405704	AOGC01090049.1	NW_013187735.1	864	2083
C18404416	AOGC01090039.1	NW_013187738.1	863	2084
C18404478	AOGC01090040.1	NW_013187740.1	863	2085
C18404690	AOGC01090041.1	NW_013187739.1	863	2086
C18405074	AOGC01090042.1	NW_013187737.1	863	2087
C18405192	AOGC01090043.1	NW_013187736.1	863	2088
C18404074	AOGC01090036.1	NW_013187741.1	862	2089
C18404164	AOGC01090037.1	NW_013187743.1	862	2090
C18404344	AOGC01090038.1	NW_013187742.1	862	2091
C18403824	AOGC01090044.1	NW_013187744.1	862	2092
C18403332	AOGC01090035.1	NW_013187745.1	861	2093
C18401700	AOGC01090030.1	NW_013187746.1	860	2094
C18402092	AOGC01090032.1	NW_013187747.1	860	2095
scaffold1084	AOGC01084043.1	NW_013187750.1	858	2096
C18399924	AOGC01090029.1	NW_013187749.1	858	2097
C18400312	AOGC01090034.1	NW_013187748.1	858	2098
scaffold1363	AOGC01084711.1	NW_013187752.1	857	2099
C18399390	AOGC01090027.1	NW_013187754.1	857	2100
C18399288	AOGC01090028.1	NW_013187753.1	857	2101
C18398742	AOGC01090033.1	NW_013187751.1	857	2102
scaffold1447	AOGC01084680.1	NW_013187756.1	856	2103
C18397838	AOGC01090026.1	NW_013187755.1	856	2104
C18397242	AOGC01090023.1	NW_013187757.1	855	2105
C18396756	AOGC01090024.1	NW_013187758.1	855	2106
C18397048	AOGC01090025.1	NW_013187759.1	855	2107
scaffold1488	AOGC01084738.1	NW_013187763.1	854	2108
C18396048	AOGC01090019.1	NW_013187762.1	854	2109
C18395552	AOGC01090020.1	NW_013187761.1	854	2110
C18396038	AOGC01090031.1	NW_013187760.1	854	2111
C18395460	AOGC01090016.1	NW_013187765.1	853	2112
C18394790	AOGC01090022.1	NW_013187764.1	853	2113
C18393808	AOGC01090015.1	NW_013187767.1	852	2114
C18394458	AOGC01090018.1	NW_013187766.1	852	2115
C18394526	AOGC01090021.1	NW_013187768.1	852	2116
scaffold1484	AOGC01084732.1	NW_013187769.1	851	2117
C18393052	AOGC01090010.1	NW_013187770.1	851	2118
C18391004	AOGC01090013.1	NW_013187771.1	849	2119
C18391112	AOGC01090017.1	NW_013187772.1	849	2120
scaffold789	AOGC01082494.1	NW_013187777.1	848	2121
scaffold1128	AOGC01084138.1	NW_013187773.1	848	2122
C18390334	AOGC01090011.1	NW_013187774.1	848	2123
C18390076	AOGC01090012.1	NW_013187776.1	848	2124
C18389924	AOGC01090014.1	NW_013187775.1	848	2125
C18388916	AOGC01090004.1	NW_013187779.1	847	2126
C18388748	AOGC01090005.1	NW_013187780.1	847	2127
C18389256	AOGC01090006.1	NW_013187778.1	847	2128
C18389338	AOGC01090009.1	NW_013187781.1	847	2129
C18386672	AOGC01089999.1	NW_013187783.1	845	2130
C18387134	AOGC01090001.1	NW_013187782.1	845	2131
C18387434	AOGC01090007.1	NW_013187784.1	845	2132
scaffold1024	AOGC01083922.1	NW_013187787.1	844	2133
scaffold1072	AOGC01084029.1	NW_013187786.1	844	2134
C18385992	AOGC01090002.1	NW_013187785.1	844	2135
scaffold1441	AOGC01084674.1	NW_013187788.1	843	2136
C18385250	AOGC01089997.1	NW_013187791.1	843	2137
C18384824	AOGC01089998.1	NW_013187790.1	843	2138
C18385348	AOGC01090008.1	NW_013187789.1	843	2139
C18384536	AOGC01089994.1	NW_013187792.1	842	2140
C18384108	AOGC01090000.1	NW_013187793.1	842	2141
C18384684	AOGC01090003.1	NW_013187794.1	842	2142
C18383428	AOGC01089992.1	NW_013187796.1	841	2143
C18383374	AOGC01089993.1	NW_013187798.1	841	2144
C18383136	AOGC01089995.1	NW_013187797.1	841	2145
C18383160	AOGC01089996.1	NW_013187795.1	841	2146
C18382508	AOGC01089988.1	NW_013187799.1	840	2147
C18382450	AOGC01089990.1	NW_013187800.1	840	2148
scaffold1378	KQ040360.1	NW_013187801.1	840	2149
scaffold1427	AOGC01084654.1	NW_013187804.1	839	2150
C18381648	AOGC01089985.1	NW_013187805.1	839	2151
C18381514	AOGC01089986.1	NW_013187803.1	839	2152
C18381598	AOGC01089991.1	NW_013187802.1	839	2153
C18380738	AOGC01089982.1	NW_013187806.1	838	2154
C18380546	AOGC01089987.1	NW_013187807.1	838	2155
C18379654	AOGC01089984.1	NW_013187809.1	837	2156
C18379854	AOGC01089989.1	NW_013187808.1	837	2157
scaffold816	AOGC01082615.1	NW_013187813.1	836	2158
scaffold1243	AOGC01084379.1	NW_013187811.1	836	2159
C18377924	AOGC01089978.1	NW_013187812.1	836	2160
C18378508	AOGC01089983.1	NW_013187810.1	836	2161
C18377226	AOGC01089975.1	NW_013187816.1	835	2162
C18377822	AOGC01089979.1	NW_013187815.1	835	2163
C18377258	AOGC01089981.1	NW_013187814.1	835	2164
C18376324	AOGC01089976.1	NW_013187817.1	834	2165
C18376762	AOGC01089977.1	NW_013187818.1	834	2166
scaffold1010	AOGC01083892.1	NW_013187820.1	832	2167
C18374528	AOGC01089974.1	NW_013187819.1	832	2168
C18374734	AOGC01089980.1	NW_013187821.1	832	2169
scaffold929	AOGC01083227.1	NW_013187824.1	831	2170
scaffold1513	AOGC01084884.1	NW_013187822.1	831	2171
C18372974	AOGC01089969.1	NW_013187823.1	831	2172
scaffold1104	AOGC01084065.1	NW_013187825.1	830	2173
C18371946	AOGC01089968.1	NW_013187828.1	830	2174
C18371984	AOGC01089971.1	NW_013187827.1	830	2175
C18371950	AOGC01089972.1	NW_013187829.1	830	2176
C18372564	AOGC01089973.1	NW_013187826.1	830	2177
scaffold1178	AOGC01084213.1	NW_013187834.1	829	2178
C18371266	AOGC01089964.1	NW_013187833.1	829	2179
C18370974	AOGC01089966.1	NW_013187830.1	829	2180
C18371548	AOGC01089967.1	NW_013187831.1	829	2181
C18371784	AOGC01089970.1	NW_013187832.1	829	2182
C18370842	AOGC01089965.1	NW_013187835.1	828	2183
C18369810	AOGC01089960.1	NW_013187836.1	827	2184
C18369242	AOGC01089962.1	NW_013187837.1	827	2185
C18368932	AOGC01089963.1	NW_013187838.1	827	2186
scaffold1373	AOGC01084568.1	NW_013187841.1	826	2187
C18368230	AOGC01089958.1	NW_013187839.1	826	2188
C18367970	AOGC01089961.1	NW_013187840.1	826	2189
C18367084	AOGC01089954.1	NW_013187844.1	825	2190
C18367504	AOGC01089955.1	NW_013187842.1	825	2191
C18367720	AOGC01089956.1	NW_013187843.1	825	2192
scaffold1495	AOGC01084750.1	NW_013187846.1	824	2193
C18366826	AOGC01089959.1	NW_013187845.1	824	2194
scaffold984	AOGC01083816.1	NW_013187847.1	823	2195
scaffold1445	AOGC01084679.1	NW_013187850.1	823	2196
C18365954	AOGC01089949.1	NW_013187848.1	823	2197
C18365172	AOGC01089950.1	NW_013187849.1	823	2198
C18365512	AOGC01089951.1	NW_013187851.1	823	2199
scaffold1254	AOGC01084401.1	NW_013187852.1	821	2200
C18363242	AOGC01089948.1	NW_013187854.1	821	2201
C18362924	AOGC01089953.1	NW_013187853.1	821	2202
C18363122	AOGC01089957.1	NW_013187855.1	821	2203
C18362124	AOGC01089944.1	NW_013187857.1	820	2204
C18362674	AOGC01089946.1	NW_013187856.1	820	2205
C18361806	AOGC01089945.1	NW_013187859.1	819	2206
C18361386	AOGC01089952.1	NW_013187858.1	819	2207
C18359852	AOGC01089943.1	NW_013187861.1	818	2208
C18360706	AOGC01089947.1	NW_013187860.1	818	2209
C18359208	AOGC01089941.1	NW_013187862.1	817	2210
scaffold821	KQ040361.1	NW_013187863.1	817	2211
scaffold1109	AOGC01084075.1	NW_013187865.1	815	2212
C18357138	AOGC01089940.1	NW_013187864.1	815	2213
C18357576	AOGC01089942.1	NW_013187866.1	815	2214
C18356200	AOGC01089937.1	NW_013187868.1	814	2215
C18356242	AOGC01089938.1	NW_013187867.1	814	2216
C18355538	AOGC01089934.1	NW_013187869.1	813	2217
C18355358	AOGC01089939.1	NW_013187870.1	813	2218
scaffold722	KQ040362.1	NW_013187871.1	813	2219
C18354262	AOGC01089928.1	NW_013187874.1	812	2220
C18354406	AOGC01089929.1	NW_013187873.1	812	2221
C18354660	AOGC01089933.1	NW_013187875.1	812	2222
C18354726	AOGC01089935.1	NW_013187872.1	812	2223
C18354652	AOGC01089936.1	NW_013187876.1	812	2224
scaffold1286	AOGC01084440.1	NW_013187878.1	811	2225
C18353226	AOGC01089927.1	NW_013187877.1	811	2226
C18353346	AOGC01089932.1	NW_013187879.1	811	2227
C18351588	AOGC01089926.1	NW_013187880.1	810	2228
C18352190	AOGC01089930.1	NW_013187882.1	810	2229
C18352520	AOGC01089931.1	NW_013187883.1	810	2230
scaffold1088	KQ040363.1	NW_013187881.1	810	2231
C18350804	AOGC01089918.1	NW_013187888.1	809	2232
C18350632	AOGC01089922.1	NW_013187887.1	809	2233
C18350866	AOGC01089923.1	NW_013187885.1	809	2234
C18351468	AOGC01089924.1	NW_013187884.1	809	2235
C18351264	AOGC01089925.1	NW_013187886.1	809	2236
C18349886	AOGC01089916.1	NW_013187889.1	808	2237
C18350336	AOGC01089920.1	NW_013187891.1	808	2238
C18350056	AOGC01089921.1	NW_013187890.1	808	2239
C18348388	AOGC01089912.1	NW_013187894.1	807	2240
C18348554	AOGC01089915.1	NW_013187895.1	807	2241
C18349218	AOGC01089917.1	NW_013187892.1	807	2242
C18348998	AOGC01089919.1	NW_013187893.1	807	2243
C18347546	AOGC01089910.1	NW_013187896.1	806	2244
C18346974	AOGC01089908.1	NW_013187900.1	805	2245
C18346278	AOGC01089909.1	NW_013187899.1	805	2246
C18347130	AOGC01089913.1	NW_013187898.1	805	2247
scaffold1386	KQ040364.1	NW_013187897.1	805	2248
scaffold768	AOGC01082285.1	NW_013187903.1	804	2249
C18345992	AOGC01089907.1	NW_013187904.1	804	2250
C18345644	AOGC01089911.1	NW_013187901.1	804	2251
C18345706	AOGC01089914.1	NW_013187902.1	804	2252
scaffold1110	AOGC01084074.1	NW_013187909.1	803	2253
C18344116	AOGC01089900.1	NW_013187907.1	803	2254
C18344480	AOGC01089901.1	NW_013187906.1	803	2255
C18344366	AOGC01089903.1	NW_013187905.1	803	2256
C18344620	AOGC01089904.1	NW_013187910.1	803	2257
C18345022	AOGC01089906.1	NW_013187908.1	803	2258
scaffold1437	AOGC01084670.1	NW_013187912.1	802	2259
C18343444	AOGC01089905.1	NW_013187911.1	802	2260
C18342282	AOGC01089902.1	NW_013187913.1	801	2261
scaffold1253	AOGC01084400.1	NW_013187917.1	800	2262
C18341330	AOGC01089893.1	NW_013187916.1	800	2263
C18341200	AOGC01089895.1	NW_013187915.1	800	2264
C18341558	AOGC01089898.1	NW_013187914.1	800	2265
C18341524	AOGC01089899.1	NW_013187918.1	800	2266
scaffold1019	AOGC01083904.1	NW_013187921.1	799	2267
C18340852	AOGC01089888.1	NW_013187919.1	799	2268
C18340164	AOGC01089890.1	NW_013187922.1	799	2269
C18340858	AOGC01089892.1	NW_013187920.1	799	2270
C18340878	AOGC01089897.1	NW_013187923.1	799	2271
C18339472	AOGC01089896.1	NW_013187924.1	798	2272
scaffold1428	AOGC01084657.1	NW_013187929.1	797	2273
C18337684	AOGC01089889.1	NW_013187925.1	797	2274
C18338704	AOGC01089891.1	NW_013187926.1	797	2275
scaffold552	KQ040365.1	NW_013187927.1	797	2276
scaffold807	KQ040366.1	NW_013187928.1	797	2277
C18336966	AOGC01089883.1	NW_013187930.1	796	2278
C18337160	AOGC01089894.1	NW_013187931.1	796	2279
C18335884	AOGC01089882.1	NW_013187934.1	795	2280
C18335622	AOGC01089886.1	NW_013187935.1	795	2281
C18336160	AOGC01089887.1	NW_013187932.1	795	2282
scaffold1157	KQ040367.1	NW_013187933.1	795	2283
C18335386	AOGC01089884.1	NW_013187939.1	794	2284
C18335310	AOGC01089885.1	NW_013187937.1	794	2285
scaffold859	KQ040368.1	NW_013187936.1	794	2286
scaffold1326	KQ040369.1	NW_013187938.1	794	2287
scaffold337	AOGC01065478.1	NW_013187940.1	792	2288
C18332570	AOGC01089876.1	NW_013187943.1	792	2289
C18332594	AOGC01089878.1	NW_013187941.1	792	2290
C18333284	AOGC01089880.1	NW_013187944.1	792	2291
C18333394	AOGC01089881.1	NW_013187942.1	792	2292
scaffold1189	AOGC01084238.1	NW_013187946.1	791	2293
C18332034	AOGC01089874.1	NW_013187947.1	791	2294
C18331918	AOGC01089879.1	NW_013187945.1	791	2295
scaffold987	KQ040370.1	NW_013187948.1	791	2296
scaffold766	AOGC01082283.1	NW_013187951.1	790	2297
C18330712	AOGC01089873.1	NW_013187949.1	790	2298
C18331110	AOGC01089875.1	NW_013187952.1	790	2299
C18330762	AOGC01089877.1	NW_013187950.1	790	2300
C18328332	AOGC01089868.1	NW_013187954.1	788	2301
C18328452	AOGC01089869.1	NW_013187953.1	788	2302
C18328956	AOGC01089872.1	NW_013187955.1	788	2303
C18326046	AOGC01089870.1	NW_013187956.1	786	2304
C18325206	AOGC01089865.1	NW_013187959.1	785	2305
C18325204	AOGC01089866.1	NW_013187958.1	785	2306
scaffold390	KQ040371.1	NW_013187957.1	785	2307
C18324570	AOGC01089862.1	NW_013187961.1	784	2308
C18324204	AOGC01089863.1	NW_013187960.1	784	2309
C18324608	AOGC01089871.1	NW_013187962.1	784	2310
C18321732	AOGC01089860.1	NW_013187964.1	782	2311
C18322412	AOGC01089861.1	NW_013187965.1	782	2312
C18322226	AOGC01089864.1	NW_013187966.1	782	2313
C18322054	AOGC01089867.1	NW_013187963.1	782	2314
C18320626	AOGC01089851.1	NW_013187969.1	781	2315
C18320818	AOGC01089855.1	NW_013187967.1	781	2316
C18320968	AOGC01089856.1	NW_013187968.1	781	2317
C18321048	AOGC01089857.1	NW_013187970.1	781	2318
C18320740	AOGC01089858.1	NW_013187972.1	781	2319
C18320782	AOGC01089859.1	NW_013187971.1	781	2320
scaffold1482	AOGC01084730.1	NW_013187973.1	780	2321
C18320178	AOGC01089853.1	NW_013187974.1	780	2322
C18319270	AOGC01089852.1	NW_013187976.1	779	2323
C18318686	AOGC01089854.1	NW_013187977.1	779	2324
scaffold587	KQ040372.1	NW_013187975.1	779	2325
scaffold471	AOGC01076585.1	NW_013187979.1	778	2326
C18318166	AOGC01089850.1	NW_013187978.1	778	2327
C18316882	AOGC01089844.1	NW_013187984.1	777	2328
C18317170	AOGC01089845.1	NW_013187982.1	777	2329
C18316904	AOGC01089847.1	NW_013187981.1	777	2330
C18317048	AOGC01089848.1	NW_013187980.1	777	2331
C18316262	AOGC01089849.1	NW_013187983.1	777	2332
scaffold1333	AOGC01084513.1	NW_013187985.1	776	2333
C18315794	AOGC01089842.1	NW_013187986.1	776	2334
C18316154	AOGC01089846.1	NW_013187987.1	776	2335
C18315140	AOGC01089836.1	NW_013187989.1	775	2336
C18315188	AOGC01089841.1	NW_013187990.1	775	2337
C18314402	AOGC01089843.1	NW_013187988.1	775	2338
C18313788	AOGC01089840.1	NW_013187991.1	774	2339
C18313104	AOGC01089834.1	NW_013187992.1	773	2340
C18311438	AOGC01089832.1	NW_013187996.1	772	2341
C18311784	AOGC01089835.1	NW_013187995.1	772	2342
C18311886	AOGC01089837.1	NW_013187997.1	772	2343
C18311780	AOGC01089838.1	NW_013187993.1	772	2344
scaffold1133	KQ040373.1	NW_013187994.1	772	2345
C18309960	AOGC01089825.1	NW_013187998.1	771	2346
C18310194	AOGC01089829.1	NW_013188000.1	771	2347
C18310134	AOGC01089831.1	NW_013188002.1	771	2348
C18310624	AOGC01089833.1	NW_013188001.1	771	2349
C18310836	AOGC01089839.1	NW_013187999.1	771	2350
C18308808	AOGC01089823.1	NW_013188004.1	770	2351
C18309032	AOGC01089824.1	NW_013188005.1	770	2352
C18309732	AOGC01089826.1	NW_013188003.1	770	2353
C18309320	AOGC01089827.1	NW_013188006.1	770	2354
C18309582	AOGC01089830.1	NW_013188007.1	770	2355
C18308440	AOGC01089821.1	NW_013188009.1	769	2356
C18308458	AOGC01089828.1	NW_013188008.1	769	2357
scaffold695	AOGC01081484.1	NW_013188010.1	768	2358
C18307544	AOGC01089819.1	NW_013188011.1	768	2359
scaffold684	AOGC01081325.1	NW_013188012.1	767	2360
C18306444	AOGC01089822.1	NW_013188013.1	767	2361
scaffold1041	AOGC01083945.1	NW_013188016.1	766	2362
C18305004	AOGC01089816.1	NW_013188015.1	766	2363
C18304934	AOGC01089818.1	NW_013188017.1	766	2364
C18305180	AOGC01089820.1	NW_013188014.1	766	2365
C18303636	AOGC01089813.1	NW_013188019.1	765	2366
C18303646	AOGC01089817.1	NW_013188018.1	765	2367
C18302338	AOGC01089809.1	NW_013188021.1	764	2368
C18302784	AOGC01089812.1	NW_013188022.1	764	2369
C18302966	AOGC01089815.1	NW_013188020.1	764	2370
C18301850	AOGC01089808.1	NW_013188023.1	763	2371
C18301202	AOGC01089811.1	NW_013188024.1	763	2372
scaffold1152	AOGC01084164.1	NW_013188026.1	762	2373
C18300498	AOGC01089805.1	NW_013188025.1	762	2374
C18300772	AOGC01089810.1	NW_013188027.1	762	2375
C18300940	AOGC01089814.1	NW_013188028.1	762	2376
scaffold1324	AOGC01084494.1	NW_013188029.1	761	2377
C18299564	AOGC01089804.1	NW_013188031.1	761	2378
C18299608	AOGC01089806.1	NW_013188030.1	761	2379
C18298704	AOGC01089800.1	NW_013188034.1	760	2380
C18298706	AOGC01089803.1	NW_013188033.1	760	2381
C18298174	AOGC01089807.1	NW_013188032.1	760	2382
C18296672	AOGC01089796.1	NW_013188036.1	759	2383
C18297040	AOGC01089798.1	NW_013188035.1	759	2384
C18297126	AOGC01089799.1	NW_013188037.1	759	2385
C18297490	AOGC01089802.1	NW_013188038.1	759	2386
scaffold431	AOGC01073991.1	NW_013188044.1	758	2387
C18295768	AOGC01089790.1	NW_013188041.1	758	2388
C18296250	AOGC01089794.1	NW_013188039.1	758	2389
C18295772	AOGC01089795.1	NW_013188040.1	758	2390
C18296378	AOGC01089797.1	NW_013188042.1	758	2391
C18296100	AOGC01089801.1	NW_013188043.1	758	2392
C18294812	AOGC01089785.1	NW_013188046.1	757	2393
C18295078	AOGC01089788.1	NW_013188045.1	757	2394
C18295150	AOGC01089789.1	NW_013188050.1	757	2395
C18295304	AOGC01089791.1	NW_013188048.1	757	2396
C18294454	AOGC01089792.1	NW_013188047.1	757	2397
C18295202	AOGC01089793.1	NW_013188049.1	757	2398
scaffold1309	AOGC01084466.1	NW_013188054.1	756	2399
C18293374	AOGC01089781.1	NW_013188051.1	756	2400
C18293228	AOGC01089783.1	NW_013188053.1	756	2401
C18293524	AOGC01089786.1	NW_013188052.1	756	2402
scaffold681	KQ040374.1	NW_013188055.1	756	2403
scaffold618	AOGC01080471.1	NW_013188057.1	755	2404
C18292646	AOGC01089782.1	NW_013188056.1	755	2405
C18292958	AOGC01089787.1	NW_013188058.1	755	2406
scaffold1270	AOGC01084420.1	NW_013188059.1	753	2407
C18290356	AOGC01089784.1	NW_013188061.1	753	2408
scaffold1412	KQ040375.1	NW_013188060.1	753	2409
scaffold1263	AOGC01084411.1	NW_013188066.1	752	2410
C18288886	AOGC01089777.1	NW_013188065.1	752	2411
C18289370	AOGC01089778.1	NW_013188062.1	752	2412
C18289770	AOGC01089779.1	NW_013188064.1	752	2413
C18289512	AOGC01089780.1	NW_013188063.1	752	2414
C18287960	AOGC01089770.1	NW_013188069.1	751	2415
C18288530	AOGC01089771.1	NW_013188067.1	751	2416
C18288564	AOGC01089775.1	NW_013188070.1	751	2417
C18288514	AOGC01089776.1	NW_013188068.1	751	2418
C18286572	AOGC01089768.1	NW_013188073.1	750	2419
C18287014	AOGC01089774.1	NW_013188071.1	750	2420
scaffold1434	KQ040376.1	NW_013188072.1	750	2421
C18285356	AOGC01089766.1	NW_013188078.1	749	2422
C18285914	AOGC01089767.1	NW_013188076.1	749	2423
C18286220	AOGC01089769.1	NW_013188077.1	749	2424
C18285850	AOGC01089772.1	NW_013188075.1	749	2425
C18285840	AOGC01089773.1	NW_013188074.1	749	2426
C18284820	AOGC01089761.1	NW_013188080.1	748	2427
C18285042	AOGC01089764.1	NW_013188079.1	748	2428
C18283272	AOGC01089758.1	NW_013188083.1	747	2429
C18283336	AOGC01089760.1	NW_013188084.1	747	2430
C18283288	AOGC01089762.1	NW_013188081.1	747	2431
C18284150	AOGC01089763.1	NW_013188082.1	747	2432
C18283392	AOGC01089765.1	NW_013188085.1	747	2433
C18282100	AOGC01089757.1	NW_013188086.1	746	2434
C18281044	AOGC01089753.1	NW_013188087.1	745	2435
C18281626	AOGC01089756.1	NW_013188088.1	745	2436
scaffold1116	AOGC01084081.1	NW_013188094.1	744	2437
C18279774	AOGC01089751.1	NW_013188089.1	744	2438
C18280676	AOGC01089752.1	NW_013188090.1	744	2439
C18280470	AOGC01089754.1	NW_013188091.1	744	2440
C18280636	AOGC01089755.1	NW_013188093.1	744	2441
C18280814	AOGC01089759.1	NW_013188092.1	744	2442
C18279470	AOGC01089747.1	NW_013188096.1	743	2443
C18279538	AOGC01089750.1	NW_013188097.1	743	2444
scaffold632	KQ040377.1	NW_013188095.1	743	2445
scaffold1262	AOGC01084408.1	NW_013188101.1	742	2446
C18277752	AOGC01089744.1	NW_013188098.1	742	2447
C18278352	AOGC01089745.1	NW_013188100.1	742	2448
C18277796	AOGC01089746.1	NW_013188099.1	742	2449
scaffold1464	AOGC01084710.1	NW_013188105.1	741	2450
C18276722	AOGC01089736.1	NW_013188108.1	741	2451
